PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN14,FGM14,FGA14,FG_PCT14,FG3M14,FG3A14,FG3_PCT14,FTM14,FTA14,FT_PCT14,OREB14,DREB14,REB14,AST14,TOV14,STL14,BLK14,BLKA14,PF14,PFD14,PTS14,PLUS_MINUS14,DD2,TD3,CFID,CFPARAMS
203511,Grant Jerrett,1610612762,UTA,21,8,6,2,0.75,6.4,0.9,3.3,0.269,0.1,1.9,0.067,0.1,0.1,1,0.3,0.9,1.1,0.4,0.4,0.3,0.3,0,1.4,0.1,2,-2.5,0,0,5,"2,035,111,610,612,760"
203512,Lucas Nogueira,1610612761,TOR,22,6,3,3,0.5,3.8,0.3,1.3,0.25,0,0,0,0.3,0.7,0.5,0.3,1.5,1.8,0.2,0.3,0.3,0,0,1,0.3,1,-1.8,0,0,5,"2,035,121,610,612,760"
203515,Phil Pressey,1610612738,BOS,24,50,22,28,0.44,12,1.3,3.5,0.368,0.3,1.3,0.246,0.7,1,0.673,0.3,1.3,1.6,2.3,0.8,0.6,0.1,0.3,1.1,1.1,3.5,0,1,0,5,"2,035,151,610,612,730"
203516,James Ennis,1610612748,MIA,24,62,27,35,0.435,17,1.6,4,0.409,0.5,1.5,0.326,1.3,1.5,0.84,0.8,2,2.8,0.8,0.6,0.4,0.3,0.4,1.4,1.1,5,-0.1,1,0,5,"2,035,161,610,612,740"
203521,Matthew Dellavedova,1610612739,CLE,24,67,43,24,0.642,20.6,1.7,4.6,0.362,1,2.5,0.407,0.4,0.6,0.763,0.6,1.3,1.9,3,0.9,0.4,0,0.3,2.3,1,4.8,0.6,2,0,5,"2,035,211,610,612,730"
203524,Solomon Hill,1610612754,IND,24,82,38,44,0.463,29,3.1,7.7,0.396,0.8,2.5,0.327,1.9,2.4,0.824,0.9,3,3.8,2.2,1.4,0.8,0.2,0.7,2.2,2,8.9,-2.2,1,0,5,"2,035,241,610,612,750"
203527,Ryan Kelly,1610612747,LAL,24,52,11,41,0.212,23.7,2,5.9,0.337,0.9,2.6,0.336,1.5,1.8,0.832,0.3,2.6,2.8,1.8,0.7,0.6,0.5,0.2,2.3,1.1,6.4,-2.8,0,0,5,"2,035,271,610,612,740"
203530,Joffrey Lauvergne,1610612743,DEN,23,24,9,15,0.375,11.2,1.5,3.7,0.404,0.1,0.7,0.188,0.8,1.2,0.643,1.1,2.1,3.2,0.5,0.9,0.3,0.4,0.6,1.8,0.9,3.9,-4.5,0,0,5,"2,035,301,610,612,740"
203539,Gal Mekel,1610612740,NOP,27,4,2,2,0.5,10.9,0.8,5,0.15,0,0.8,0,0,0,0,0,0.3,0.3,3.3,0.5,0.5,0,0.8,0.3,0.3,1.5,0.5,0,0,5,"2,035,391,610,612,740"
203540,Gigi Datome,1610612738,BOS,27,21,11,10,0.524,10,2,4.2,0.483,0.9,1.9,0.45,0,0,1,0.1,1.2,1.4,0.4,0.4,0.1,0.3,0,0.7,0.4,5,3.2,0,0,5,"2,035,401,610,612,730"
203544,Pero Antic,1610612737,ATL,32,63,46,17,0.73,16.5,1.7,4.7,0.365,0.8,2.7,0.301,1.4,2,0.715,0.9,2.1,3,0.8,0.8,0.3,0.2,0.3,2.1,2,5.7,2.5,0,0,5,"2,035,441,610,612,730"
203545,Miroslav Raduljica,1610612750,MIN,27,5,0,5,0,4.6,0.6,1.6,0.375,0,0,0,0.4,0.4,1,0.4,0.6,1,0,0.4,0.2,0,0.2,1.6,0.4,1.6,-0.6,0,0,5,"2,035,451,610,612,750"
203546,Ian Clark,1610612743,DEN,24,30,9,21,0.3,6.4,0.6,1.8,0.345,0.3,1,0.333,0.3,0.3,1,0.1,0.4,0.5,0.4,0.3,0.3,0.1,0.1,0.7,0.3,1.9,-1.5,0,0,5,"2,035,461,610,612,740"
203552,Seth Curry,1610612756,PHX,24,2,2,0,1,3.9,0,1.5,0,0,0.5,0,0,0,0,0,1,1,0.5,0,0,0,0,1,0,0,-2,0,0,5,"2,035,521,610,612,750"
203561,Brandon Davies,1610612751,BKN,23,27,6,21,0.222,15.7,2,5.1,0.401,0.3,1.3,0.235,0.9,1.4,0.649,1.4,1.7,3.1,1.1,1.1,0.7,0.3,0.5,2.2,1.6,5.3,-6,0,0,5,"2,035,611,610,612,750"
203564,Kalin Lucas,1610612763,MEM,26,1,0,1,0,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-7,0,0,5,"2,035,641,610,612,760"
203565,Patrick Christopher,1610612762,UTA,27,4,2,2,0.5,7.2,0.8,3,0.25,0,1,0,0,0,0,0.5,1,1.5,0,0.3,0.3,0,0.5,1.5,0.3,1.5,-4.5,0,0,5,"2,035,651,610,612,760"
203580,Larry Drew,1610612755,PHI,25,12,4,8,0.333,18.3,1.7,4.8,0.345,0.3,2.2,0.154,0.2,0.3,0.667,0.1,1.2,1.3,3.8,2.1,0.5,0,0,1.1,1.5,3.8,-6.1,0,0,5,"2,035,801,610,612,750"
203584,Troy Daniels,1610612766,CHA,23,47,15,32,0.319,8.5,1.3,3.5,0.37,0.9,2.5,0.364,0.2,0.3,0.846,0.2,0.5,0.7,0.5,0.4,0.1,0,0.2,0.9,0.4,3.7,-1.8,0,0,5,"2,035,841,610,612,760"
203798,PJ Hairston,1610612766,CHA,22,45,19,26,0.422,15.3,1.9,6,0.323,1.1,3.6,0.301,0.7,0.8,0.861,0.5,1.6,2,0.5,0.5,0.5,0.3,0.2,1.4,0.8,5.6,-2.3,1,0,5,"2,037,981,610,612,760"
203805,Will Cherry,1610612739,CLE,24,8,6,2,0.75,8.7,0.6,2.4,0.263,0.3,1.1,0.222,0.4,0.8,0.5,0.1,0.5,0.6,1,0.5,0.8,0.1,0.3,1.3,0.5,1.9,-0.9,0,0,5,"2,038,051,610,612,730"
203893,Russ Smith,1610612763,MEM,24,12,7,5,0.583,5.4,0.7,2.1,0.32,0.2,0.9,0.182,1,1.1,0.923,0.1,0.4,0.5,0.7,1,0.3,0,0.1,1.1,0.6,2.5,1.8,0,0,5,"2,038,931,610,612,760"
203894,Shabazz Napier,1610612748,MIA,23,51,24,27,0.471,19.8,1.7,4.5,0.382,0.8,2.3,0.364,0.9,1.1,0.786,0.3,1.9,2.2,2.5,1.6,0.8,0.1,0.2,1.5,1.5,5.1,-0.7,0,0,5,"2,038,941,610,612,740"
203897,Zach LaVine,1610612750,MIN,20,77,15,62,0.195,24.7,3.7,8.8,0.422,0.7,2.2,0.341,1.9,2.3,0.842,0.4,2.4,2.8,3.6,2.5,0.7,0.1,0.5,2.1,1.8,10.1,-7,4,0,5,"2,038,971,610,612,750"
203898,Tyler Ennis,1610612749,MIL,20,33,11,22,0.333,12.5,1.6,4.4,0.361,0.4,1.3,0.279,0.2,0.2,0.714,0.2,0.8,1.1,2.2,1.3,0.5,0.2,0.2,1.1,0.6,3.7,-1.9,0,0,5,"2,038,981,610,612,740"
203900,Markel Brown,1610612751,BKN,23,47,23,24,0.489,16.6,1.6,4.5,0.362,0.4,1.4,0.266,1,1.2,0.825,0.3,1.9,2.3,0.8,0.6,0.7,0.3,0.3,1.2,1.3,4.6,-0.5,1,0,5,"2,039,001,610,612,750"
203901,Elfrid Payton,1610612753,ORL,21,82,25,57,0.305,30.4,3.7,8.6,0.425,0.1,0.5,0.262,1.4,2.6,0.551,1.3,3,4.3,6.5,2.5,1.7,0.2,1.2,2.4,2.6,8.9,-2.5,12,2,5,"2,039,011,610,612,750"
203903,Jordan Clarkson,1610612747,LAL,23,59,11,48,0.186,25,4.5,10.1,0.448,0.6,2.1,0.314,2.2,2.7,0.829,0.9,2.3,3.2,3.5,1.6,0.9,0.2,0.7,1.8,2.3,11.9,-4.1,2,0,5,"2,039,031,610,612,740"
203906,Devyn Marble,1610612753,ORL,22,16,3,13,0.188,13,0.9,2.8,0.318,0.3,1.4,0.182,0.3,1,0.313,0.3,1.6,1.9,1.1,0.6,0.6,0.1,0.2,0.9,0.6,2.3,-1,0,0,5,"2,039,061,610,612,750"
203909,KJ McDaniels,1610612745,HOU,22,62,19,43,0.306,21.8,2.8,7,0.396,0.7,2.4,0.287,1.6,2.1,0.752,1,2.2,3.2,1.2,1.7,0.7,1.1,0.5,2,1.5,7.9,-4.2,1,0,5,"2,039,091,610,612,740"
203910,Nick Johnson,1610612745,HOU,22,28,18,10,0.643,9.4,0.9,2.7,0.347,0.2,0.8,0.238,0.6,0.9,0.68,0.5,0.9,1.4,0.4,0.7,0.3,0.1,0.3,1.2,0.6,2.6,-1.7,0,0,5,"2,039,101,610,612,740"
203912,CJ Wilcox,1610612746,LAC,24,21,15,6,0.714,4.8,0.8,1.8,0.421,0.3,0.9,0.368,0.1,0.1,1,0,0.3,0.3,0.4,0.5,0.1,0,0,0.3,0.1,2,-0.9,0,0,5,"2,039,121,610,612,740"
203913,Jabari Brown,1610612747,LAL,22,19,4,15,0.211,29.9,3.7,8.9,0.412,1.2,3.3,0.371,3.4,4.5,0.753,0.2,1.7,1.9,2.1,1.7,0.6,0.1,0.6,1.7,3.4,11.9,-6.7,0,0,5,"2,039,131,610,612,740"
203914,Gary Harris,1610612743,DEN,20,55,18,37,0.327,13.1,1.2,3.9,0.304,0.4,1.9,0.204,0.6,0.9,0.745,0.4,0.8,1.2,0.5,0.7,0.7,0.1,0.3,1.3,0.7,3.4,-3.2,0,0,5,"2,039,141,610,612,740"
203915,Spencer Dinwiddie,1610612765,DET,22,34,12,22,0.353,13.4,1.5,5,0.302,0.4,1.9,0.185,0.9,1,0.912,0.1,1.3,1.4,3.1,1,0.6,0.2,0.2,1.6,1.1,4.3,-2.1,1,0,5,"2,039,151,610,612,760"
203917,Nik Stauskas,1610612758,SAC,21,73,26,47,0.356,15.4,1.5,4.1,0.365,0.7,2,0.322,0.8,0.9,0.859,0.2,1.1,1.2,0.9,0.5,0.3,0.2,0.3,1.3,0.7,4.4,-1.8,0,0,5,"2,039,171,610,612,750"
203918,Rodney Hood,1610612762,UTA,22,50,27,23,0.54,21.3,3.1,7.5,0.414,1.2,3.4,0.365,1.2,1.6,0.763,0.2,2.2,2.3,1.7,0.9,0.6,0.2,0.2,2.4,1,8.7,1.2,0,0,5,"2,039,181,610,612,760"
203919,Jordan Adams,1610612763,MEM,20,30,14,16,0.467,8.3,1.2,2.9,0.407,0.3,0.8,0.4,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.5,0.2,0.3,0.8,0.7,3.1,0.5,0,0,5,"2,039,191,610,612,760"
203921,Cleanthony Early,1610612752,NYK,24,39,6,33,0.154,16.6,1.9,5.5,0.355,0.6,2.2,0.262,0.9,1.2,0.75,0.6,1.9,2.5,0.9,1,0.6,0.3,0.4,1.5,1.1,5.4,-4.1,0,0,5,"2,039,211,610,612,750"
203922,Glenn Robinson,1610612755,PHI,21,35,2,33,0.057,7.5,0.7,1.9,0.388,0.1,0.5,0.263,0.5,0.7,0.667,0.4,0.7,1.1,0.3,0.3,0.2,0,0.1,0.4,0.5,2.1,0.8,0,0,5,"2,039,221,610,612,750"
203923,James Young,1610612738,BOS,19,31,14,17,0.452,10.7,1.2,3.3,0.353,0.5,2.1,0.258,0.5,0.9,0.552,0.3,1.1,1.4,0.4,0.2,0.3,0.1,0,0.7,0.6,3.4,0.1,0,0,5,"2,039,231,610,612,730"
203924,Jerami Grant,1610612755,PHI,21,65,18,47,0.277,21.2,1.9,5.4,0.352,0.8,2.4,0.314,1.8,3,0.591,0.8,2.3,3,1.2,1.3,0.6,1,0.5,2.2,2.1,6.3,-2.7,0,0,5,"2,039,241,610,612,750"
203925,Joe Harris,1610612739,CLE,23,51,32,19,0.627,9.7,0.9,2.4,0.4,0.6,1.6,0.369,0.2,0.3,0.6,0.1,0.7,0.8,0.5,0.5,0.1,0,0.1,1.2,0.2,2.7,-2,0,0,5,"2,039,251,610,612,730"
203926,Doug McDermott,1610612741,CHI,23,36,23,13,0.639,8.9,1.2,3,0.402,0.4,1.1,0.317,0.3,0.4,0.667,0.2,1,1.2,0.2,0.5,0.1,0,0.2,0.8,0.5,3,-2.3,0,0,5,"2,039,261,610,612,740"
203928,Cory Jefferson,1610612751,BKN,24,50,18,32,0.36,10.6,1.5,3.3,0.449,0,0.3,0.133,0.6,1.1,0.574,0.9,2,2.9,0.3,0.4,0.2,0.4,0.3,1.2,0.8,3.7,1.5,1,0,5,"2,039,281,610,612,750"
203930,Sean Kilpatrick,1610612750,MIN,25,4,2,2,0.5,17.9,1.8,5,0.35,1,3.3,0.308,1,1,1,0.3,1.3,1.5,1,0.5,0.8,0,0.3,0.8,0.8,5.5,4.3,0,0,5,"2,039,301,610,612,750"
203932,Aaron Gordon,1610612753,ORL,19,47,14,33,0.298,17,2,4.4,0.447,0.3,1,0.271,0.9,1.3,0.721,1,2.6,3.6,0.7,0.8,0.4,0.5,0.3,1.8,1.1,5.2,-3.5,1,0,5,"2,039,321,610,612,750"
203933,TJ Warren,1610612756,PHX,21,40,17,23,0.425,15.4,2.8,5.4,0.528,0.1,0.5,0.238,0.4,0.5,0.737,1,1.1,2.1,0.6,0.7,0.5,0.2,0.2,1.3,0.6,6.1,-2.4,0,0,5,"2,039,331,610,612,750"
203935,Marcus Smart,1610612738,BOS,21,67,35,32,0.522,27,2.6,7.1,0.367,1.4,4.1,0.335,1.2,1.9,0.646,0.9,2.4,3.3,3.1,1.3,1.5,0.3,0.3,2.6,2.3,7.8,0.9,0,0,5,"2,039,351,610,612,730"
203937,Kyle Anderson,1610612759,SAS,21,33,22,11,0.667,10.9,0.9,2.7,0.348,0.1,0.3,0.273,0.3,0.4,0.643,0.2,2,2.2,0.8,0.3,0.5,0.2,0.2,0.8,0.4,2.2,-1.1,0,0,5,"2,039,371,610,612,750"
203939,Dwight Powell,1610612742,DAL,23,29,11,18,0.379,8.2,1.1,2.3,0.463,0.1,0.4,0.273,0.9,1.1,0.758,0.6,1.1,1.7,0.3,0.4,0.3,0.2,0.2,1.4,1,3.1,0,0,0,5,"2,039,391,610,612,740"
203940,Adreian Payne,1610612750,MIN,24,32,7,25,0.219,23.1,2.8,6.9,0.414,0,0.3,0.111,0.9,1.4,0.652,1.5,3.6,5.1,0.9,1.4,0.6,0.3,0.3,2.8,1.3,6.7,-7.7,3,0,5,"2,039,401,610,612,750"
203943,Noah Vonleh,1610612766,CHA,19,25,8,17,0.32,10.3,1.2,3,0.395,0.2,0.5,0.385,0.7,1,0.692,1.1,2.3,3.4,0.2,0.4,0.2,0.4,0.5,0.8,1,3.3,-2.7,1,0,5,"2,039,431,610,612,760"
203944,Julius Randle,1610612747,LAL,20,1,0,1,0,13.6,1,3,0.333,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,2,-18,0,0,5,"2,039,441,610,612,740"
203945,Alex Kirk,1610612739,CLE,23,5,2,3,0.4,2.8,0.2,0.8,0.25,0,0,0,0.4,0.4,1,0.2,0,0.2,0.2,0,0,0,0,0.2,0.2,0.8,-2.8,0,0,5,"2,039,451,610,612,730"
203946,Cameron Bairstow,1610612741,CHI,24,18,12,6,0.667,3.5,0.2,0.8,0.214,0,0,0,0.2,0.3,0.8,0.3,0.1,0.4,0.1,0.2,0.1,0.1,0.1,0.4,0.2,0.6,-1.1,0,0,5,"2,039,461,610,612,740"
203948,Johnny O'Bryant,1610612749,MIL,22,34,17,17,0.5,10.8,1.3,3.5,0.367,0,0,0,0.4,0.8,0.444,0.8,1.1,1.9,0.5,0.7,0.1,0.1,0.3,1.3,0.7,2.9,-2.9,0,0,5,"2,039,481,610,612,740"
203949,James Michael McAdoo,1610612744,GSW,22,15,11,4,0.733,9.1,1.6,2.9,0.545,0,0,0,0.9,1.7,0.56,1,1.5,2.5,0.1,0.4,0.3,0.6,0.2,1.4,1.3,4.1,0.7,0,0,5,"2,039,491,610,612,740"
203950,Jarnell Stokes,1610612763,MEM,21,19,12,7,0.632,6.6,1.1,1.9,0.568,0,0,0,0.8,1.5,0.536,0.8,0.9,1.8,0.2,0.4,0.3,0.3,0.3,1.3,1.2,3,0.7,0,0,5,"2,039,501,610,612,760"
203952,Andrew Wiggins,1610612750,MIN,20,82,16,66,0.195,36.2,6.1,13.9,0.437,0.5,1.5,0.31,4.3,5.7,0.76,1.6,2.9,4.6,2.1,2.2,1,0.6,0.8,2.3,4.6,16.9,-6.7,2,0,5,"2,039,521,610,612,750"
203953,Jabari Parker,1610612749,MIL,20,25,13,12,0.52,29.5,5.2,10.5,0.49,0.2,0.6,0.25,1.8,2.6,0.697,2,3.5,5.5,1.7,1.9,1.2,0.2,0.8,1.7,2.4,12.3,-4.7,2,0,5,"2,039,531,610,612,740"
203955,Bryce Cotton,1610612762,UTA,22,15,9,6,0.6,10.6,1.9,4.6,0.42,0.5,1.3,0.35,1,1.2,0.833,0.2,1,1.2,1,0.8,0.3,0,0.3,0.4,1,5.3,0.1,0,0,5,"2,039,551,610,612,760"
203956,Mitch McGary,1610612760,OKC,23,32,20,12,0.625,15.2,2.8,5.2,0.533,0,0.1,0,0.8,1.3,0.625,1.7,3.5,5.2,0.4,1,0.5,0.5,0.4,2.3,0.9,6.3,1.5,3,0,5,"2,039,561,610,612,760"
203957,Dante Exum,1610612762,UTA,19,82,38,44,0.463,22.2,1.8,5.1,0.349,1,3.2,0.314,0.2,0.4,0.625,0.3,1.3,1.6,2.4,1.4,0.5,0.2,0,1.8,0.8,4.8,1.1,0,0,5,"2,039,571,610,612,760"
203958,Andre Dawkins,1610612748,MIA,23,4,2,2,0.5,5.4,0.3,1.5,0.167,0.3,1.5,0.167,0,0,0,0,0.5,0.5,0.3,0.3,0,0,0,0.8,0,0.8,-1,0,0,5,"2,039,581,610,612,740"
203960,JaKarr Sampson,1610612755,PHI,22,74,17,57,0.23,15.3,2,4.7,0.422,0.4,1.7,0.244,0.9,1.3,0.67,0.5,1.7,2.2,1,1,0.5,0.4,0.4,1.8,1.1,5.2,-4.5,0,0,5,"2,039,601,610,612,750"
203961,Eric Moreland,1610612758,SAC,23,3,0,3,0,0.7,0.3,0.3,1,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.3,0,0.7,0.3,0,0,5,"2,039,611,610,612,750"
203963,Shayne Whittington,1610612754,IND,24,20,9,11,0.45,5.4,1,2.1,0.452,0.1,0.3,0.167,0.9,1.2,0.783,0.5,1,1.5,0.3,0.3,0.3,0.1,0.4,0.9,0.8,2.9,0.8,0,0,5,"2,039,631,610,612,750"
203968,Jerrelle Benimon,1610612762,UTA,23,2,2,0,1,1.4,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0,0.5,0,0,0,0,0,0,3,0,0,5,"2,039,681,610,612,760"
203991,Clint Capela,1610612745,HOU,21,12,8,4,0.667,7.5,1.2,2.4,0.483,0,0,0,0.3,1.9,0.174,0.8,2.2,3,0.2,0.4,0.1,0.8,0.3,1.2,1.1,2.7,0.7,0,0,5,"2,039,911,610,612,740"
203994,Jusuf Nurkic,1610612743,DEN,20,62,21,41,0.339,17.8,2.8,6.2,0.446,0,0,0,1.4,2.1,0.636,2,4.1,6.2,0.8,1.4,0.8,1.1,0.6,3.3,1.9,6.9,-0.1,4,0,5,"2,039,941,610,612,740"
203998,Bruno Caboclo,1610612761,TOR,19,8,7,1,0.875,2.9,0.5,1.5,0.333,0.3,0.4,0.667,0,0,0,0.1,0.1,0.3,0,0.5,0,0.1,0,0.4,0,1.3,-3.4,0,0,5,"2,039,981,610,612,760"
204014,Damjan Rudez,1610612754,IND,29,68,28,40,0.412,15.4,1.8,3.9,0.452,1,2.5,0.406,0.2,0.3,0.696,0.1,0.6,0.7,0.8,0.7,0.2,0.1,0.1,1.2,0.4,4.8,0.5,0,0,5,"2,040,141,610,612,750"
204020,Tyler Johnson,1610612748,MIA,23,32,15,17,0.469,18.8,2.2,5.2,0.419,0.6,1.5,0.375,1,1.5,0.681,0.4,2.1,2.5,1.3,0.9,1,0.3,0.3,1.3,1.2,5.9,-2,1,0,5,"2,040,201,610,612,740"
204021,Sim Bhullar,1610612758,SAC,22,3,1,2,0.333,0.9,0.3,0.7,0.5,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0.3,0,0,0,0.7,0.3,0,0,5,"2,040,211,610,612,750"
204022,Jack Cooley,1610612762,UTA,24,16,10,6,0.625,5.4,0.6,1.4,0.409,0,0,0,0.6,1.3,0.429,0.6,0.9,1.6,0.1,0.2,0.4,0.2,0.1,1.4,1.1,1.7,-0.3,0,0,5,"2,040,221,610,612,760"
204025,Tim Frazier,1610612757,POR,24,11,3,8,0.273,21.8,1.9,5.5,0.344,0.5,1.5,0.294,0.9,1.9,0.476,0.5,2,2.5,5.5,2.3,0.7,0,0.2,2.4,2,5.2,-0.5,1,0,5,"2,040,251,610,612,750"
204028,Tarik Black,1610612747,LAL,23,63,25,38,0.397,19,2.5,4.3,0.575,0,0,0,1,1.9,0.551,2.3,3.6,5.8,0.7,0.8,0.3,0.4,0.5,2.5,1.5,6,-1.2,5,0,5,"2,040,281,610,612,740"
204033,David Wear,1610612758,SAC,24,2,0,2,0,3.5,0,1,0,0,0.5,0,0,0,0,1,0,1,0.5,0,0,0,0,0.5,0,0,-4.5,0,0,5,"2,040,331,610,612,750"
204037,Travis Wear,1610612752,NYK,24,51,7,44,0.137,13.2,1.6,4.1,0.402,0.2,0.6,0.367,0.4,0.5,0.769,0.6,1.5,2.1,0.8,0.7,0.3,0.2,0.1,1.1,0.5,3.9,-1.6,0,0,5,"2,040,371,610,612,750"
204038,Langston Galloway,1610612752,NYK,23,45,12,33,0.267,32.4,4.5,11.4,0.399,1.4,3.9,0.352,1.4,1.7,0.808,0.8,3.4,4.2,3.3,1.4,1.2,0.3,0.5,2.9,2,11.8,-6,0,0,5,"2,040,381,610,612,750"
204054,Zoran Dragic,1610612748,MIA,26,16,6,10,0.375,4.7,0.7,1.9,0.367,0.2,0.9,0.214,0.2,0.3,0.6,0.3,0.2,0.5,0.3,0.3,0.1,0,0.1,0.4,0.5,1.8,-0.9,0,0,5,"204054,1610612748}}"
204060,Joe Ingles,1610612762,UTA,27,79,36,43,0.456,21.2,1.9,4.5,0.415,0.9,2.6,0.356,0.4,0.5,0.75,0.3,1.9,2.2,2.3,1.2,0.9,0.1,0.1,1.6,0.8,5,-0.6,0,0,5,"2,040,601,610,612,760"
204065,David Stockton,1610612758,SAC,24,3,1,2,0.333,11,0.7,2,0.333,0.3,0.7,0.5,1,2,0.5,0,0.7,0.7,3,1.3,0.7,0,0,0.3,1,2.7,7.7,0,0,5,"2,040,651,610,612,750"
204079,Drew Gordon,1610612755,PHI,24,9,0,9,0,7.9,0.9,2.1,0.421,0,0.3,0,0.1,0.2,0.5,0.8,1.2,2,0.2,0.9,0.1,0,0.1,0.8,0.8,1.9,-3.8,0,0,5,"2,040,791,610,612,750"
